month,Rfree
1985-01,0.006500000000000001
1985-02,0.0058
1985-03,0.0062
1985-04,0.0072
1985-05,0.0066
1985-06,0.0055000000000000005
1985-07,0.0062
1985-08,0.0055000000000000005
1985-09,0.006
1985-10,0.006500000000000001
1985-11,0.0060999999999999995
1985-12,0.006500000000000001
1986-01,0.005600000000000001
1986-02,0.0053
1986-03,0.006
1986-04,0.0052
1986-05,0.0049
1986-06,0.0052
1986-07,0.0052
1986-08,0.0046
1986-09,0.0045000000000000005
1986-10,0.0046
1986-11,0.0039000000000000003
1986-12,0.0049
1987-01,0.0042
1987-02,0.0043
1987-03,0.004699999999999999
1987-04,0.0044
1987-05,0.0038
1987-06,0.0048
1987-07,0.0046
1987-08,0.004699999999999999
1987-09,0.0045000000000000005
1987-10,0.006
1987-11,0.0034999999999999996
1987-12,0.0039000000000000003
1988-01,0.0029
1988-02,0.0046
1988-03,0.0044
1988-04,0.0046
1988-05,0.0051
1988-06,0.0049
1988-07,0.0051
1988-08,0.0059
1988-09,0.0062
1988-10,0.0060999999999999995
1988-11,0.005699999999999999
1988-12,0.0063
1989-01,0.0055000000000000005
1989-02,0.0060999999999999995
1989-03,0.0067
1989-04,0.0067
1989-05,0.0079
1989-06,0.0070999999999999995
1989-07,0.006999999999999999
1989-08,0.0074
1989-09,0.006500000000000001
1989-10,0.0068000000000000005
1989-11,0.0069
1989-12,0.0060999999999999995
1990-01,0.005699999999999999
1990-02,0.005699999999999999
1990-03,0.0064
1990-04,0.0069
1990-05,0.0068000000000000005
1990-06,0.0063
1990-07,0.0068000000000000005
1990-08,0.0066
1990-09,0.006
1990-10,0.0068000000000000005
1990-11,0.005699999999999999
1990-12,0.006
1991-01,0.0052
1991-02,0.0048
1991-03,0.0044
1991-04,0.0053
1991-05,0.004699999999999999
1991-06,0.0042
1991-07,0.0049
1991-08,0.0046
1991-09,0.0046
1991-10,0.0042
1991-11,0.0039000000000000003
1991-12,0.0038
1992-01,0.0034000000000000002
1992-02,0.0028000000000000004
1992-03,0.0034000000000000002
1992-04,0.0032
1992-05,0.0028000000000000004
1992-06,0.0032
1992-07,0.0031
1992-08,0.0026
1992-09,0.0026
1992-10,0.0023
1992-11,0.0023
1992-12,0.0028000000000000004
1993-01,0.0023
1993-02,0.0022
1993-03,0.0025
1993-04,0.0024
1993-05,0.0022
1993-06,0.0025
1993-07,0.0024
1993-08,0.0025
1993-09,0.0026
1993-10,0.0022
1993-11,0.0025
1993-12,0.0023
1994-01,0.0025
1994-02,0.0021
1994-03,0.0027
1994-04,0.0027
1994-05,0.0031
1994-06,0.0031
1994-07,0.0028000000000000004
1994-08,0.0037
1994-09,0.0037
1994-10,0.0038
1994-11,0.0037
1994-12,0.0044
1995-01,0.0042
1995-02,0.004
1995-03,0.0046
1995-04,0.0044
1995-05,0.0054
1995-06,0.004699999999999999
1995-07,0.0045000000000000005
1995-08,0.004699999999999999
1995-09,0.0043
1995-10,0.004699999999999999
1995-11,0.0042
1995-12,0.0049
1996-01,0.0043
1996-02,0.0039000000000000003
1996-03,0.0039000000000000003
1996-04,0.0046
1996-05,0.0042
1996-06,0.004
1996-07,0.0045000000000000005
1996-08,0.0040999999999999995
1996-09,0.0044
1996-10,0.0042
1996-11,0.0040999999999999995
1996-12,0.0046
1997-01,0.0045000000000000005
1997-02,0.0039000000000000003
1997-03,0.0043
1997-04,0.0043
1997-05,0.0049
1997-06,0.0037
1997-07,0.0043
1997-08,0.0040999999999999995
1997-09,0.0044
1997-10,0.0042
1997-11,0.0039000000000000003
1997-12,0.0048
1998-01,0.0043
1998-02,0.0039000000000000003
1998-03,0.0039000000000000003
1998-04,0.0043
1998-05,0.004
1998-06,0.0040999999999999995
1998-07,0.004
1998-08,0.0043
1998-09,0.0046
1998-10,0.0032
1998-11,0.0031
1998-12,0.0038
1999-01,0.0034999999999999996
1999-02,0.0034999999999999996
1999-03,0.0043
1999-04,0.0037
1999-05,0.0034000000000000002
1999-06,0.004
1999-07,0.0038
1999-08,0.0039000000000000003
1999-09,0.0039000000000000003
1999-10,0.0039000000000000003
1999-11,0.0036
1999-12,0.0044
2000-01,0.0040999999999999995
2000-02,0.0043
2000-03,0.004699999999999999
2000-04,0.0046
2000-05,0.005
2000-06,0.004
2000-07,0.0048
2000-08,0.005
2000-09,0.0051
2000-10,0.005600000000000001
2000-11,0.0051
2000-12,0.005
2001-01,0.0054
2001-02,0.0038
2001-03,0.0042
2001-04,0.0039000000000000003
2001-05,0.0032
2001-06,0.0028000000000000004
2001-07,0.003
2001-08,0.0031
2001-09,0.0028000000000000004
2001-10,0.0022
2001-11,0.0017000000000000001
2001-12,0.0015
2002-01,0.0014000000000000002
2002-02,0.0013
2002-03,0.0013
2002-04,0.0015
2002-05,0.0014000000000000002
2002-06,0.0013
2002-07,0.0015
2002-08,0.0014000000000000002
2002-09,0.0014000000000000002
2002-10,0.0014000000000000002
2002-11,0.0012
2002-12,0.0011
2003-01,0.001
2003-02,0.0009
2003-03,0.001
2003-04,0.001
2003-05,0.0009
2003-06,0.001
2003-07,0.0007000000000000001
2003-08,0.0007000000000000001
2003-09,0.0008
2003-10,0.0007000000000000001
2003-11,0.0007000000000000001
2003-12,0.0008
2004-01,0.0007000000000000001
2004-02,0.0006
2004-03,0.0009
2004-04,0.0008
2004-05,0.0006
2004-06,0.0008
2004-07,0.001
2004-08,0.0011
2004-09,0.0011
2004-10,0.0011
2004-11,0.0015
2004-12,0.0016
2005-01,0.0016
2005-02,0.0016
2005-03,0.0021
2005-04,0.0021
2005-05,0.0024
2005-06,0.0023
2005-07,0.0024
2005-08,0.003
2005-09,0.0029
2005-10,0.0027
2005-11,0.0031
2005-12,0.0032
2006-01,0.0034999999999999996
2006-02,0.0034000000000000002
2006-03,0.0037
2006-04,0.0036
2006-05,0.0043
2006-06,0.004
2006-07,0.004
2006-08,0.0042
2006-09,0.0040999999999999995
2006-10,0.0040999999999999995
2006-11,0.0042
2006-12,0.004
2007-01,0.0044
2007-02,0.0038
2007-03,0.0043
2007-04,0.0044
2007-05,0.0040999999999999995
2007-06,0.004
2007-07,0.004
2007-08,0.0042
2007-09,0.0032
2007-10,0.0032
2007-11,0.0034000000000000002
2007-12,0.0027
2008-01,0.0021
2008-02,0.0013
2008-03,0.0017000000000000001
2008-04,0.0018
2008-05,0.0018
2008-06,0.0017000000000000001
2008-07,0.0015
2008-08,0.0013
2008-09,0.0015
2008-10,0.0008
2008-11,0.0003
2008-12,0.0
2009-01,0.0
2009-02,0.0001
2009-03,0.0002
2009-04,0.0001
2009-05,0.0
2009-06,0.0001
2009-07,0.0001
2009-08,0.0001
2009-09,0.0001
2009-10,0.0
2009-11,0.0
2009-12,0.0001
2010-01,0.0
2010-02,0.0
2010-03,0.0001
2010-04,0.0001
2010-05,0.0001
2010-06,0.0001
2010-07,0.0001
2010-08,0.0001
2010-09,0.0001
2010-10,0.0001
2010-11,0.0001
2010-12,0.0001
2011-01,0.0001
2011-02,0.0001
2011-03,0.0001
2011-04,0.0
2011-05,0.0
2011-06,0.0
2011-07,0.0
2011-08,0.0001
2011-09,0.0
2011-10,0.0
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,0.0
2012-05,0.0001
2012-06,0.0
2012-07,0.0
2012-08,0.0001
2012-09,0.0001
2012-10,0.0001
2012-11,0.0001
2012-12,0.0001
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,0.0
2013-05,0.0
2013-06,0.0
2013-07,0.0
2013-08,0.0
2013-09,0.0
2013-10,0.0
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,0.0001
2016-01,0.0001
2016-02,0.0002
2016-03,0.0002
2016-04,0.0001
2016-05,0.0001
2016-06,0.0002
2016-07,0.0002
2016-08,0.0002
2016-09,0.0002
2016-10,0.0002
2016-11,0.0001
2016-12,0.0003
2017-01,0.0004
2017-02,0.0004
2017-03,0.0003
2017-04,0.0005
2017-05,0.0006
2017-06,0.0006
2017-07,0.0007000000000000001
2017-08,0.0009
2017-09,0.0009
2017-10,0.0009
2017-11,0.0008
2017-12,0.0009
2018-01,0.0011
2018-02,0.0011
2018-03,0.0012
2018-04,0.0014000000000000002
2018-05,0.0014000000000000002
2018-06,0.0014000000000000002
2018-07,0.0016
2018-08,0.0016
2018-09,0.0015
2018-10,0.0019
2018-11,0.0018
2018-12,0.0019
2019-01,0.0021
2019-02,0.0018
2019-03,0.0019
2019-04,0.0021
2019-05,0.0021
2019-06,0.0018
2019-07,0.0019
2019-08,0.0016
2019-09,0.0018
2019-10,0.0015
2019-11,0.0012
2019-12,0.0014000000000000002
2020-01,0.0013
2020-02,0.0012
2020-03,0.0012
2020-04,0.0
2020-05,0.0001
2020-06,0.0001
2020-07,0.0001
2020-08,0.0001
2020-09,0.0001
2020-10,0.0001
2020-11,0.0001
2020-12,0.0001
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0001
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0001
2022-04,0.0001
2022-05,0.0003
2022-06,0.0006
2022-07,0.0008
2022-08,0.0019
2022-09,0.0019
2022-10,0.0023
2022-11,0.0029
2022-12,0.0033
2023-01,0.0034999999999999996
2023-02,0.0034000000000000002
2023-03,0.0036
2023-04,0.0034999999999999996
2023-05,0.0036
2023-06,0.004
2023-07,0.0045000000000000005
2023-08,0.0045000000000000005
2023-09,0.0043
2023-10,0.004699999999999999
2023-11,0.0044
2023-12,0.0043
2024-01,0.004699999999999999
2024-02,0.0042
2024-03,0.0043
2024-04,0.004699999999999999
2024-05,0.0044
2024-06,0.0040999999999999995
2024-07,0.0045000000000000005
2024-08,0.0048
2024-09,0.004
2024-10,0.0039000000000000003
2024-11,0.004
2024-12,0.0037
